Isolate ID,Collection date,Date,,Island,Sample type,Species,Automated SBI,MLST,Total length,GC (%),Depth,Contigs,CDS,N50,stx1A,stx1B,stx2A,stx2B,Automated_SBI,SBI,O-type,H-type,Serotype,eae,ehxA,hlyE,stx1a,stx2a,stx2c,RB_level 1,RB_level 2,RB_level 1b
109ST-1,2008,1/09/2008,,NI,bovine,E. coli,AY2a,11,5392488,50.26,77,135,5145,201728,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
13ER-3795,2013,22/05/2013,,NI,bovine,E. coli,AY2a,11,5405020,50.27,72,149,5179,188962,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
13ER-4703,2013,31/07/2013,,SI,bovine,E. coli,WY12a,11,5442399,50.23,88,133,5208,189042,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
13ER-5169,2013,28/08/2013,,NI,bovine,E. coli,WY12a,10465,5346027,50.27,91,134,5086,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
14ER-1012,2014,23/03/2014,,SI,bovine,E. coli,ASY2c,11,5386937,50.26,70,163,5134,188530,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,7,3
14ER-2496,2014,12/08/2014,,NI,bovine,E. coli,WY12a,11,5407597,50.29,111,139,5157,160335,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,5,2
14ER-2816,2014,12/09/2014,,SI,bovine,E. coli,AY2a,11,5445911,50.3,76,151,5219,188305,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,2,1
14ER-2831,2014,3/09/2014,,NI,bovine,E. coli,ASY2c,11,5440749,50.18,107,150,5209,256088,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,8,3
14ER-3009,2014,18/09/2014,,SI,bovine,E. coli,WY12a,11,5353674,50.21,51,134,5103,188387,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
14ER-98,2014,19/12/2013,,NI,bovine,E. coli,AY2a,11,5391087,50.27,66,131,5149,187625,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
36ST-1,2008,23/08/2008,,NI,bovine,E. coli,WY12a,11,5434408,50.17,42,169,5199,163243,1,1,1,1,WY12a,WY12a,O157,H7,O157:H7,1,1,1,1,1,0,2,4,2
a220a,2011,18/05/2011,,SI,bovine,E. coli,ASY2c,11,5270462,50.23,178,215,4970,113841,0,0,1,1,ASY2c,ASY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,8,3
E200a,2010,13/09/2010,,NI,bovine,E. coli,AWY2a,11,5423318,50.25,112,158,5201,183735,0,0,1,1,AWY2a,AWY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
e46a,2010,9/02/2010,,NI,bovine,E. coli,AS2c,11,5354771,50.25,90,135,5093,188530,0,0,1,1,AS2c,AS2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
e82b,2010,20/04/2010,,NI,bovine,E. coli,AY2a,11,5314372,50.17,190,201,5034,111036,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ER-06-287,2006,20/01/2006,,NI,human,E. coli,AY2a,11,5498434,50.23,146,156,5279,163261,0,0,1,1,AY2a,AY2a,O157,H7,O157:H7,1,1,1,0,1,0,1,1,1
ERL_051037,2005,24/03/2005,,SI,human,E. coli,Y1,11,5152554,50.27,189,167,4839,127309,1,1,0,0,Y1,Y1a,O157,H7,O157:H7,1,1,1,1,0,0,2,4,2
ERL_061626,2006,2/05/2006,,NI,human,E. coli,SY2c,11,5279980,50.24,185,221,4983,121669,0,0,1,1,SY2c,SY2c,O157,H7,O157:H7,1,1,1,0,0,1,3,9,3
